Id,Name,Country,Latitude,Longitude,Government_Area,Market,Street,Suburb,Availability_30,Availability_365,Availability_60,Availability_90,Bathrooms,Bed_Type,Bedrooms,Beds,Number_Of_Reviews,Price,Property_Type,Review_Scores_Accuracy,Review_Scores_Checkin,Review_Scores_Cleanliness,Review_Scores_Communication,Review_Scores_Location,Review_Scores_Rating,Review_Scores_Value,Room_Type,Security_Deposit,Accommodates,Image
32476385,Private room in a cozy apartment in Sheung Wan,Hong Kong,114.14682,22.28654,Central & Western,Hong Kong,"Hong Kong, Hong Kong Island, Hong Kong",Sheung Wan,4,137,17,47,1,Real Bed,1,1,0,400,Apartment,0,0,0,0,0,0,0,Private room,0,1,https://a0.muscache.com/im/pictures/0219f59c-9263-452a-9c41-d00d9e2dc146.jpg?aki_policy=large
32481559,1 SingleRoom in Beautiful Flat Center,Spain,2.17153,41.37676,el Raval,Barcelona,"Barcelona, Catalunya, Spain",El Raval,17,77,47,77,1,Real Bed,1,1,1,24,Apartment,10,10,10,10,10,100,10,Private room,0,1,https://a0.muscache.com/im/pictures/e239db1e-90fa-4dea-817e-37c495cee67e.jpg?aki_policy=large
32481979,KT4B2 觀塘派對場地 PARTY ROOM,Hong Kong,114.22419,22.30975,Kwun Tong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Kwun Tong,27,86,56,86,1,Real Bed,1,2,0,2300,Loft,0,0,0,0,0,0,0,Entire home/apt,0,16,https://a0.muscache.com/im/pictures/db1fb150-98c8-434c-84f5-552219eda145.jpg?aki_policy=large
32503549,WorldMark Kona 2 Bedroom Timeshare Condo,United States,-155.98617,19.62605,North Kona,The Big Island,"Kailua-Kona, HI, United States",Island of Hawaiʻi,0,286,0,11,1,Real Bed,2,4,0,225,Condominium,0,0,0,0,0,0,0,Entire home/apt,0,6,https://a0.muscache.com/im/pictures/52438e56-42af-40d7-93bb-7acd4710eaff.jpg?aki_policy=large
32503574,学生短租,Hong Kong,114.18613,22.33843,Wong Tai Sin,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Wong Tai Sin,3,324,19,49,1,Real Bed,1,1,0,157,House,0,0,0,0,0,0,0,Shared room,0,1,https://a0.muscache.com/im/pictures/158c27f8-b6a0-4645-b22f-2c749c37872d.jpg?aki_policy=large
32510052,Triple Bedroom with City View,Hong Kong,114.17083,22.30637,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Jordan,22,343,42,71,1,Real Bed,1,2,3,298,Hotel,10,10,10,10,10,100,10,Private room,0,3,https://a0.muscache.com/im/pictures/c5140ee7-05f3-4a0a-9f49-1c33773d9f09.jpg?aki_policy=large
32528492,3 Persons Room ( 3 人房內設有私人浴室),Hong Kong,114.17262,22.29538,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,8,140,32,58,1,Real Bed,1,2,0,361,Guesthouse,0,0,0,0,0,0,0,Private room,0,3,https://a0.muscache.com/im/pictures/775a75fa-dd59-4ee4-b27b-682a0fde3a91.jpg?aki_policy=large
32537967,Double  room with private bathroom in center city,Spain,2.16741,41.37992,el Raval,Barcelona,"Barcelona, CT, Spain",Ciutat Vella,14,141,14,14,1,Real Bed,1,1,1,57,Apartment,2,8,2,8,8,20,2,Private room,0,2,https://a0.muscache.com/im/pictures/9a7be441-95fa-4105-a918-f910ed15388e.jpg?aki_policy=large
3254016,sultanahmet cami 3 dk.manzarali,Turkey,28.97989,41.00463,Fatih,Istanbul,"Istanbul, Turkey",Fatih,30,180,60,90,1,Real Bed,4,2,0,627,Bed and breakfast,0,0,0,0,0,0,0,Private room,1489,4,https://a0.muscache.com/im/pictures/41343796/aea842af_original.jpg?aki_policy=large
32541101,RAMBLAS AREA NEAR THE BEACH!! L,Spain,2.16684,41.38197,el Raval,Barcelona,"Barcelona, Catalunya, Spain",Ciutat Vella,8,13,13,13,1,Real Bed,1,3,0,80,Apartment,0,0,0,0,0,0,0,Private room,0,4,https://a0.muscache.com/im/pictures/6f044469-3f28-42f5-a150-04b34a2f79c8.jpg?aki_policy=large
32546106,BCN Duplex Sagrada Familia,Spain,2.16075,41.39643,la Dreta de l'Eixample,Barcelona,"Barcelona, Barcelona, Spain",Eixample,13,336,35,61,2,Real Bed,2,6,0,129,Apartment,0,0,0,0,0,0,0,Entire home/apt,300,9,https://a0.muscache.com/im/pictures/0cef2d58-58df-4563-80dc-ecd1339723e6.jpg?aki_policy=large
32546244,Best Location Hale in Hilo!,United States,-155.06646,19.70905,South Hilo,The Big Island,"Hilo, HI, United States",Island of Hawaiʻi,24,149,48,69,1,Real Bed,2,2,0,100,Guest suite,0,0,0,0,0,0,0,Entire home/apt,200,4,https://a0.muscache.com/im/pictures/2da512e7-a369-4e69-baf1-cae7363a2f99.jpg?aki_policy=large
32546486,"1 Bdr Cozy condo,Five-Star Home,convenient,in DT!!",Canada,-73.55243,45.52154,Ville-Marie,Montreal,"Montréal, Québec, Canada",Gay Village,11,255,27,50,1,Real Bed,1,1,1,50,Apartment,10,10,10,10,10,100,10,Entire home/apt,500,2,https://a0.muscache.com/im/pictures/7b1b66b9-1f11-4f64-9b13-9f5af6bb61fa.jpg?aki_policy=large
32548455,Quartier des spectacles #304 -Studio apartment,Canada,-73.57126,45.51387,Le Plateau-Mont-Royal,Montreal,"Montréal, Québec, Canada",Le Plateau,19,152,49,79,1,Real Bed,0,1,0,70,Condominium,0,0,0,0,0,0,0,Entire home/apt,0,2,https://a0.muscache.com/im/pictures/fb6a71fd-bc22-4a10-82a8-fa8ca5cfc9a0.jpg?aki_policy=large
32603163,"遠眺大海的獨立空間,夕陽西下景色怡人",Hong Kong,113.98952,22.3768,Tuen Mun,Hong Kong,"Hong Kong, New Territories, Hong Kong",Tuen Mun,21,356,51,81,1,Real Bed,1,1,0,502,Apartment,0,0,0,0,0,0,0,Private room,0,1,https://a0.muscache.com/im/pictures/7c53cf5e-d80b-484f-9c0c-7e9d2df9eda3.jpg?aki_policy=large
3261569,Big Private 4 bedrooms 1 bathroom Near Subway!,United States,-73.93122,40.67658,Crown Heights,New York,"Brooklyn, NY, United States",Brooklyn,22,321,40,58,1,Real Bed,4,6,30,300,Apartment,10,10,9,10,8,94,9,Entire home/apt,0,13,https://a0.muscache.com/im/pictures/1407a3c6-d23a-4463-9ae0-8b701fdef4e6.jpg?aki_policy=large
32618302,Triple Ensuite with Bathroom,Hong Kong,114.16987,22.32131,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,30,90,60,90,1,Real Bed,0,2,0,447,Bed and breakfast,0,0,0,0,0,0,0,Private room,0,3,https://a0.muscache.com/im/pictures/0f45f672-f7a4-4d25-b986-72383a8ad5ed.jpg?aki_policy=large
32636126,"Near the RAMBLA, the double room at  SEASIDE PORT1",Spain,2.17075,41.37559,el Raval,Barcelona,"Barcelona, Catalunya, Spain",Ciutat Vella,10,66,18,41,2,Real Bed,1,1,0,10,Condominium,0,0,0,0,0,0,0,Private room,0,2,https://a0.muscache.com/im/pictures/e5676509-c883-46cb-935a-1d320a48a0e8.jpg?aki_policy=large
32645900,【WhiteHouse】3-4人溫馨套房 | 體驗九龍文化､雙地鐵太子旺角東站,Hong Kong,114.16907,22.32345,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Mong Kok,16,344,39,69,1,Real Bed,0,2,0,597,Loft,0,0,0,0,0,0,0,Entire home/apt,0,4,https://a0.muscache.com/im/pictures/79eaa2c3-1d08-4c1b-869c-e149ea74b7d7.jpg?aki_policy=large
32649235,Flat Share Room in Prince Edward(Pe4d),Hong Kong,114.1652,22.32787,Sham Shui Po,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Sham Shui Po District,30,365,60,90,1,Real Bed,1,1,0,243,Apartment,0,0,0,0,0,0,0,Shared room,0,1,https://a0.muscache.com/im/pictures/9abee97c-bac8-4343-92ad-f9b793bca411.jpg?aki_policy=large
32663016,★ RARE - gigantic Montreal nest ★ MTL life - @Prefontaine E,Canada,-73.54624,45.54095,Mercier-Hochelaga-Maisonneuve,Montreal,"Montreal, QC, Canada",Hochelaga-Maisonneuve,0,275,0,0,2,Real Bed,6,8,0,160,Apartment,0,0,0,0,0,0,0,Entire home/apt,919,14,https://a0.muscache.com/im/pictures/e413d199-693d-40a2-a26e-dfbf8dffd924.jpg?aki_policy=large
